ts,phase,txpower_dbm,elapsed_in_step_s,up_mbps,down_mbps,base_sig,base_rate,base_mcs,base_nss,base_retries,base_failed,base_plink,stair_sig,stair_rate,stair_mcs,stair_nss,stair_plink,bed_sig,bed_rate,bed_plink,noise_base,busy_base_pct,noise_stair,busy_stair_pct
2026-09-11T01:45:22,VHT40,18,15,19.4,17.6,-80,43.3,2,2,551599,559,ESTAB,-81,57.8,3,2,ESTAB,-56,240.0,ESTAB,-102,9.11,-102,11.88
2026-09-11T01:46:23,VHT40,18,76,27.4,19.1,-79,45.0,2,1,608749,559,ESTAB,-81,90.0,4,1,ESTAB,-56,270.0,ESTAB,-102,9.54,-102,12.06
2026-09-11T01:47:23,VHT40,18,136,25.4,27.5,-76,90.0,4,1,679747,559,ESTAB,-81,90.0,4,1,ESTAB,-56,300.0,ESTAB,-101,9.93,-102,12.24
2026-09-11T01:48:22,VHT40,18,195,23.8,24.8,-77,81.0,4,1,741706,559,ESTAB,-83,90.0,2,2,ESTAB,-56,243.0,ESTAB,-102,10.31,-102,12.42
2026-09-11T01:49:22,VHT40,18,255,25.2,25.4,-78,43.3,4,1,801570,559,ESTAB,-81,90.0,2,2,ESTAB,-56,270.0,ESTAB,-102,10.65,-102,12.58
2026-09-11T01:50:22,VHT40,18,315,23.0,24.5,-78,60.0,3,1,864860,559,ESTAB,-83,108.0,3,2,ESTAB,-56,270.0,ESTAB,-101,10.96,-102,12.74
2026-09-11T01:51:23,VHT40,18,376,20.2,24.8,-77,60.0,3,1,922854,559,ESTAB,-83,81.0,2,2,ESTAB,-55,300.0,ESTAB,-102,11.26,-102,12.89
2026-09-11T01:52:23,VHT40,18,436,22.0,24.0,-77,60.0,3,1,980996,559,ESTAB,-83,108.0,3,2,ESTAB,-56,270.0,ESTAB,-102,11.52,-102,13.03
2026-09-11T01:53:23,VHT40,18,496,19.6,23.8,-78,60.0,3,1,1042566,559,ESTAB,-82,90.0,4,1,ESTAB,-55,270.0,ESTAB,-102,11.78,-102,13.16
2026-09-11T01:54:22,VHT40,18,555,20.0,23.9,-78,60.0,3,1,1101840,559,ESTAB,-84,90.0,4,1,ESTAB,-55,270.0,ESTAB,-102,12.01,-102,13.3
2026-09-11T01:55:28,VHT40,20,15,26.5,33.1,-75,90.0,4,1,1184265,559,ESTAB,-80,90.0,2,2,ESTAB,-53,240.0,ESTAB,-102,12.2,-102,13.4
2026-09-11T01:56:27,VHT40,20,75,26.4,32.6,-75,90.0,4,1,1267666,559,ESTAB,-80,90.0,4,1,ESTAB,-53,240.0,ESTAB,-102,12.41,-102,13.52
2026-09-11T01:57:28,VHT40,20,135,26.2,32.4,-76,90.0,4,1,1350263,559,ESTAB,-80,90.0,4,1,ESTAB,-52,240.0,ESTAB,-102,12.61,-101,13.63
2026-09-11T01:58:28,VHT40,20,195,25.9,32.6,-75,90.0,4,1,1434356,559,ESTAB,-80,90.0,2,2,ESTAB,-53,270.0,ESTAB,-102,12.79,-102,13.74
2026-09-11T01:59:28,VHT40,20,256,25.9,33.1,-75,90.0,4,1,1516352,559,ESTAB,-80,72.2,7,1,ESTAB,-53,180.0,ESTAB,-102,12.96,-102,13.85
2026-09-11T02:00:28,VHT40,20,315,26.2,32.5,-74,90.0,4,1,1601365,559,ESTAB,-80,90.0,2,2,ESTAB,-53,270.0,ESTAB,-102,13.13,-102,13.95
2026-09-11T02:01:27,VHT40,20,375,26.8,34.0,-76,90.0,4,1,1683798,559,ESTAB,-81,72.2,7,1,ESTAB,-52,243.0,ESTAB,-101,13.28,-101,14.05
2026-09-11T02:02:28,VHT40,20,435,26.6,35.4,-75,57.8,5,1,1764873,559,ESTAB,-80,90.0,4,1,ESTAB,-53,240.0,ESTAB,-101,13.43,-102,14.14
2026-09-11T02:03:43,VHT40,20,510,26.2,20.1,-75,90.0,4,1,1834718,559,ESTAB,-79,90.0,2,2,ESTAB,-53,300.0,ESTAB,-102,13.52,-102,14.19
2026-09-11T02:04:30,VHT40,20,557,25.8,26.8,-75,108.0,3,2,1902858,559,ESTAB,-80,120.0,5,1,ESTAB,-53,300.0,ESTAB,-102,13.7,-102,14.33
2026-09-11T02:05:37,VHT40,22,15,25.0,33.0,-73,90.0,4,1,1970106,560,ESTAB,-79,108.0,5,1,ESTAB,-52,240.0,ESTAB,-102,13.81,-102,14.41
2026-09-11T02:06:37,VHT40,22,75,27.4,38.4,-73,90.0,4,1,2048883,560,ESTAB,-78,108.0,5,1,ESTAB,-52,240.0,ESTAB,-102,13.99,-102,14.54
2026-09-11T02:07:43,VHT40,22,141,26.1,37.1,-73,90.0,4,1,2132119,560,ESTAB,-80,121.5,6,1,ESTAB,-52,240.0,ESTAB,-102,14.14,-101,14.66
2026-09-11T02:08:37,VHT40,22,195,26.2,38.4,-73,90.0,4,1,2217030,560,ESTAB,-78,121.5,6,1,ESTAB,-52,240.0,ESTAB,-102,14.31,-102,14.78
2026-09-11T02:09:37,VHT40,22,255,26.9,35.4,-73,90.0,4,1,2303014,560,ESTAB,-79,90.0,4,1,ESTAB,-52,240.0,ESTAB,-102,14.42,-102,14.86
2026-09-11T02:10:37,VHT40,22,315,26.2,38.1,-73,90.0,4,1,2381722,560,ESTAB,-78,135.0,6,1,ESTAB,-52,240.0,ESTAB,-102,14.52,-102,14.94
2026-09-11T02:11:45,VHT40,22,383,26.6,33.4,-72,90.0,4,1,2469323,560,ESTAB,-79,86.7,4,2,ESTAB,-52,240.0,ESTAB,-102,14.59,-102,14.99
2026-09-11T02:12:42,VHT40,22,440,26.8,36.8,-72,90.0,4,1,2552027,560,ESTAB,-78,65.0,7,1,ESTAB,-52,240.0,ESTAB,-102,14.7,-102,15.07
2026-09-11T02:13:42,VHT40,22,500,26.4,33.0,-73,90.0,4,1,2643732,560,ESTAB,-79,108.0,3,2,ESTAB,-51,240.0,ESTAB,-102,14.8,-102,15.14
2026-09-11T02:14:37,VHT40,22,555,27.2,35.4,-72,90.0,4,1,2731010,560,ESTAB,-78,90.0,4,1,ESTAB,-52,240.0,ESTAB,-102,14.9,-102,15.22
2026-09-11T02:15:45,VHT40,24,15,32.8,38.9,-72,108.0,5,1,2815719,560,ESTAB,-78,120.0,5,1,ESTAB,-52,240.0,ESTAB,-102,14.98,-102,15.28
2026-09-11T02:16:45,VHT40,24,75,29.8,38.8,-70,90.0,4,1,2898686,560,ESTAB,-78,120.0,3,2,ESTAB,-50,240.0,ESTAB,-102,15.06,-102,15.34
2026-09-11T02:17:45,VHT40,24,135,30.5,38.8,-71,120.0,5,1,2979681,560,ESTAB,-78,120.0,5,1,ESTAB,-51,216.0,ESTAB,-101,15.14,-101,15.39
2026-09-11T02:18:45,VHT40,24,195,31.6,39.5,-71,108.0,5,1,3059508,560,ESTAB,-77,120.0,5,1,ESTAB,-50,240.0,ESTAB,-102,15.21,-101,15.45
2026-09-11T02:19:45,VHT40,24,255,33.1,40.0,-72,90.0,4,1,3139708,560,ESTAB,-77,120.0,3,2,ESTAB,-51,240.0,ESTAB,-102,15.29,-102,15.51
2026-09-11T02:20:45,VHT40,24,315,31.6,39.1,-71,90.0,4,1,3217880,560,ESTAB,-77,120.0,3,2,ESTAB,-52,240.0,ESTAB,-102,15.36,-102,15.56
2026-09-11T02:21:46,VHT40,24,375,30.1,39.5,-73,121.5,6,1,3298949,560,ESTAB,-76,120.0,5,1,ESTAB,-52,240.0,ESTAB,-102,15.42,-102,15.61
2026-09-11T02:22:46,VHT40,24,436,30.0,38.6,-73,57.8,5,1,3386220,560,ESTAB,-75,121.5,6,1,ESTAB,-51,240.0,ESTAB,-101,15.49,-101,15.66
2026-09-11T02:23:46,VHT40,24,496,26.9,39.8,-72,90.0,4,1,3468530,560,ESTAB,-75,120.0,5,1,ESTAB,-51,240.0,ESTAB,-102,15.55,-101,15.71
2026-09-11T02:24:45,VHT40,24,555,27.2,40.2,-73,90.0,4,1,3548888,560,ESTAB,-75,120.0,5,1,ESTAB,-51,240.0,ESTAB,-101,15.61,-102,15.76
2026-09-11T02:25:50,VHT40,26,15,26.9,40.0,-73,90.0,4,1,3627747,560,ESTAB,-76,120.0,5,1,ESTAB,-52,240.0,ESTAB,-102,15.65,-102,15.79
2026-09-11T02:26:50,VHT40,26,75,27.1,39.6,-73,90.0,4,1,3705374,560,ESTAB,-75,108.0,5,1,ESTAB,-51,240.0,ESTAB,-102,15.71,-102,15.83
2026-09-11T02:27:51,VHT40,26,135,26.5,44.0,-74,90.0,4,1,3784173,560,ESTAB,-74,120.0,5,1,ESTAB,-51,240.0,ESTAB,-102,15.77,-102,15.88
2026-09-11T02:28:50,VHT40,26,195,50.5,44.6,-73,90.0,4,1,3868175,560,ESTAB,-75,120.0,5,1,ESTAB,-50,240.0,ESTAB,-101,15.83,-102,15.92
2026-09-11T02:29:50,VHT40,26,255,54.4,26.1,-72,90.0,4,1,3933165,560,ESTAB,-77,120.0,5,1,ESTAB,-51,240.0,ESTAB,-102,15.88,-102,15.97
2026-09-11T02:30:51,VHT40,26,315,55.8,44.9,-72,120.0,5,1,4016903,560,ESTAB,-77,120.0,5,1,ESTAB,-51,240.0,ESTAB,-102,16.01,-102,16.07
2026-09-11T02:31:51,VHT40,26,375,54.5,44.9,-72,90.0,4,1,4096481,560,ESTAB,-76,120.0,5,1,ESTAB,-51,240.0,ESTAB,-101,16.06,-102,16.11
2026-09-11T02:32:50,VHT40,26,435,54.4,44.8,-73,90.0,4,1,4179035,560,ESTAB,-76,135.0,6,1,ESTAB,-51,243.0,ESTAB,-101,16.12,-102,16.15
2026-09-11T02:33:51,VHT40,26,495,55.4,45.2,-71,90.0,4,1,4261247,560,ESTAB,-76,135.0,6,1,ESTAB,-51,240.0,ESTAB,-102,16.17,-102,16.19
2026-09-11T02:34:51,VHT40,26,555,55.1,44.5,-73,90.0,4,1,4344863,560,ESTAB,-77,120.0,5,1,ESTAB,-51,240.0,ESTAB,-102,16.21,-102,16.23
2026-09-11T02:35:56,VHT40,28,15,53.9,44.9,-70,90.0,4,1,4426474,560,ESTAB,-76,121.5,6,1,ESTAB,-51,240.0,ESTAB,-102,16.24,-102,16.25
2026-09-11T02:36:56,VHT40,28,75,50.5,44.9,-72,120.0,5,1,4507397,560,ESTAB,-77,120.0,5,1,ESTAB,-51,240.0,ESTAB,-102,16.29,-102,16.29
2026-09-11T02:37:56,VHT40,28,135,52.8,44.4,-72,90.0,4,1,4590273,560,ESTAB,-76,135.0,6,1,ESTAB,-51,240.0,ESTAB,-101,16.33,-102,16.32
2026-09-11T02:38:56,VHT40,28,195,52.6,43.9,-70,90.0,4,1,4670637,560,ESTAB,-76,120.0,5,1,ESTAB,-52,240.0,ESTAB,-101,16.38,-102,16.36
2026-09-11T02:39:56,VHT40,28,255,53.2,45.1,-72,90.0,4,1,4752265,560,ESTAB,-77,120.0,5,1,ESTAB,-52,240.0,ESTAB,-102,16.42,-102,16.39
2026-09-11T02:40:56,VHT40,28,315,53.2,44.4,-73,90.0,4,1,4836101,560,ESTAB,-76,120.0,5,1,ESTAB,-51,240.0,ESTAB,-102,16.46,-102,16.43
2026-09-11T02:41:56,VHT40,28,375,48.0,43.4,-71,90.0,4,1,4920548,560,ESTAB,-76,120.0,5,1,ESTAB,-51,240.0,ESTAB,-102,16.5,-102,16.46
2026-09-11T02:42:57,VHT40,28,435,51.2,44.0,-70,90.0,4,1,5004225,560,ESTAB,-76,120.0,5,1,ESTAB,-50,180.0,ESTAB,-102,16.53,-102,16.49
2026-09-11T02:43:56,VHT40,28,495,53.1,45.2,-73,90.0,4,1,5084160,560,ESTAB,-76,120.0,5,1,ESTAB,-51,243.0,ESTAB,-102,16.57,-102,16.53
2026-09-11T02:44:57,VHT40,28,555,53.0,44.0,-73,108.0,5,1,5169918,560,ESTAB,-76,120.0,5,1,ESTAB,-50,240.0,ESTAB,-102,16.61,-102,16.56
2026-09-11T02:46:02,VHT40,30,15,53.1,45.5,-72,90.0,4,1,5251874,560,ESTAB,-76,135.0,6,1,ESTAB,-50,240.0,ESTAB,-101,16.63,-102,16.58
2026-09-11T02:47:02,VHT40,30,75,52.5,45.6,-73,108.0,5,1,5330778,560,ESTAB,-76,120.0,5,1,ESTAB,-50,240.0,ESTAB,-102,16.67,-102,16.61
2026-09-11T02:48:01,VHT40,30,135,55.0,44.5,-72,90.0,4,1,5412208,560,ESTAB,-77,120.0,5,1,ESTAB,-51,240.0,ESTAB,-101,16.7,-102,16.63
2026-09-11T02:49:02,VHT40,30,195,54.1,44.5,-72,90.0,4,1,5491394,560,ESTAB,-77,135.0,6,1,ESTAB,-49,243.0,ESTAB,-102,16.73,-101,16.66
2026-09-11T02:50:01,VHT40,30,255,54.4,45.0,-74,90.0,4,1,5574492,560,ESTAB,-76,120.0,5,1,ESTAB,-50,240.0,ESTAB,-102,16.77,-102,16.69
2026-09-11T02:51:01,VHT40,30,315,49.9,44.4,-71,90.0,4,1,5657339,560,ESTAB,-77,120.0,5,1,ESTAB,-52,240.0,ESTAB,-102,16.8,-102,16.72
2026-09-11T02:52:02,VHT40,30,375,49.6,42.9,-71,90.0,4,1,5742635,560,ESTAB,-76,120.0,5,1,ESTAB,-51,240.0,ESTAB,-102,16.83,-102,16.75
2026-09-11T02:53:02,VHT40,30,435,48.5,43.4,-72,108.0,5,1,5826301,560,ESTAB,-76,121.5,6,1,ESTAB,-51,240.0,ESTAB,-102,16.86,-102,16.77
2026-09-11T02:54:01,VHT40,30,495,53.4,45.1,-70,90.0,4,1,5908318,560,ESTAB,-77,120.0,5,1,ESTAB,-51,240.0,ESTAB,-101,16.89,-101,16.8
2026-09-11T02:55:02,VHT40,30,555,62.8,50.9,-73,108.0,5,1,6011014,560,ESTAB,-76,135.0,6,1,ESTAB,-51,240.0,ESTAB,-102,16.92,-102,16.82
2026-09-11T02:57:48,VHT80,18,15,11.1,7.62,-82,30.0,0,2,72096,16,ESTAB,-85,65.1,0,2,ESTAB,-57,650.0,ESTAB,-101,7.85,-101,9.27
2026-09-11T02:58:48,VHT80,18,75,11.4,9.88,-83,65.0,1,1,155565,16,ESTAB,-86,65.1,0,2,ESTAB,-56,585.1,ESTAB,-101,9.91,-101,11.68
2026-09-11T02:59:48,VHT80,18,135,11.0,10.0,-83,65.0,1,1,238077,16,ESTAB,-84,117.0,3,1,ESTAB,-57,585.1,ESTAB,-101,10.98,-101,12.96
2026-09-11T03:00:49,VHT80,18,196,10.5,9.12,-81,65.0,1,1,319190,16,ESTAB,-85,65.1,0,2,ESTAB,-56,585.0,ESTAB,-100,11.44,-102,13.57
2026-09-11T03:01:48,VHT80,18,255,10.5,8.75,-83,54.0,3,1,396537,16,ESTAB,-85,65.1,0,2,ESTAB,-57,650.0,ESTAB,-101,11.75,-101,14.0
2026-09-11T03:02:48,VHT80,18,315,10.4,8.62,-85,65.0,1,1,470091,16,ESTAB,-85,97.6,2,1,ESTAB,-57,650.0,ESTAB,-101,12.05,-101,14.35
2026-09-11T03:03:48,VHT80,18,375,10.4,9.25,-83,58.5,1,1,546762,16,ESTAB,-85,58.5,1,1,ESTAB,-57,650.0,ESTAB,-101,12.28,-101,14.63
2026-09-11T03:04:48,VHT80,18,435,10.5,11.5,-83,43.3,4,1,622696,16,ESTAB,-83,65.0,1,1,ESTAB,-57,585.1,ESTAB,-100,12.48,-101,14.88
2026-09-11T03:05:49,VHT80,18,495,11.6,9.38,-82,58.6,0,2,698014,16,ESTAB,-86,65.0,1,1,ESTAB,-57,650.0,ESTAB,-100,12.64,-101,15.09
2026-09-11T03:06:49,VHT80,18,556,11.2,10.1,-80,65.0,1,1,783324,80,ESTAB,-86,60.0,1,2,ESTAB,-57,585.1,ESTAB,-101,12.78,-101,15.27
2026-09-11T03:08:00,VHT80,20,21,19.8,16.2,-82,130.0,3,1,877037,80,ESTAB,-82,97.6,2,1,ESTAB,-55,650.0,ESTAB,-101,12.83,-101,15.25
2026-09-11T03:08:54,VHT80,20,75,20.2,16.5,-80,130.0,3,1,961444,80,ESTAB,-82,130.0,1,2,ESTAB,-55,650.0,ESTAB,-101,13.06,-101,15.47
2026-09-11T03:09:54,VHT80,20,135,19.2,21.2,-79,81.0,4,1,1073858,122,ESTAB,-82,117.0,1,2,ESTAB,-55,650.0,ESTAB,-101,13.4,-101,15.79
2026-09-11T03:10:56,VHT80,20,197,19.4,21.6,-80,81.0,4,1,1189179,131,ESTAB,-82,117.0,3,1,ESTAB,-54,650.0,ESTAB,-101,13.71,-101,16.08
2026-09-11T03:11:54,VHT80,20,256,19.2,21.4,-77,60.0,3,1,1310328,141,ESTAB,-81,90.0,4,1,ESTAB,-55,585.1,ESTAB,-101,13.91,-101,16.27
2026-09-11T03:12:53,VHT80,20,315,16.8,22.2,-80,90.0,4,1,1432775,141,ESTAB,-82,117.0,1,2,ESTAB,-55,585.1,ESTAB,-100,14.07,-101,16.42
2026-09-11T03:13:53,VHT80,20,375,23.2,22.5,-79,97.6,2,1,1555510,141,ESTAB,-82,130.0,1,2,ESTAB,-55,433.3,ESTAB,-100,14.28,-101,16.6
2026-09-11T03:14:54,VHT80,20,435,22.9,22.9,-81,90.0,4,1,1677556,141,ESTAB,-82,130.0,3,1,ESTAB,-55,650.0,ESTAB,-101,14.39,-101,16.69
2026-09-11T03:15:54,VHT80,20,495,20.2,20.6,-79,97.6,2,1,1796312,141,ESTAB,-82,130.0,1,2,ESTAB,-55,650.0,ESTAB,-100,14.5,-101,16.8
2026-09-11T03:16:53,VHT80,20,555,21.8,21.4,-82,90.0,4,1,1913624,141,ESTAB,-83,97.6,2,1,ESTAB,-53,520.0,ESTAB,-101,14.59,-101,16.89
2026-09-11T03:17:59,VHT80,22,15,25.4,27.4,-78,97.6,2,1,2033189,141,ESTAB,-81,130.0,1,2,ESTAB,-52,390.0,ESTAB,-101,14.66,-101,16.92
2026-09-11T03:18:59,VHT80,22,75,27.2,31.2,-75,97.6,2,1,2146816,141,ESTAB,-79,175.5,4,1,ESTAB,-53,468.0,ESTAB,-101,14.77,-101,17.02
2026-09-11T03:19:59,VHT80,22,135,26.0,28.1,-74,117.0,3,1,2267144,141,ESTAB,-79,120.0,5,1,ESTAB,-54,468.0,ESTAB,-101,14.87,-101,17.1
2026-09-11T03:21:00,VHT80,22,196,24.1,26.8,-79,130.0,3,1,2404032,141,ESTAB,-80,195.0,4,1,ESTAB,-52,468.0,ESTAB,-101,14.92,-101,17.16
2026-09-11T03:22:00,VHT80,22,256,20.5,20.9,-78,60.0,3,1,2532757,141,ESTAB,-81,117.0,3,1,ESTAB,-52,390.0,ESTAB,-101,14.99,-101,17.23
2026-09-11T03:22:59,VHT80,22,315,24.5,20.9,-79,97.6,2,1,2673036,156,ESTAB,-82,130.0,3,1,ESTAB,-52,390.0,ESTAB,-101,15.06,-101,17.29
